Name,Bronze,Gold,Silver,Total
Fabien Pierre Aurlien Dominique Gilot,0,1,2,3
Florent Manaudou,0,1,2,3
Frances Cowells Schroth,2,1,0,3
"Frank Edward McKinney, Jr.",1,1,1,3
"Gabriele Wetzko (-Hartung, -Frischke, -Khne)",0,0,3,3
Gertrude Caroline "Trudy" Ederle,2,1,0,3
Giaan Leigh Rooney,0,1,2,3
"Gza Kiss (Drippei-, -Klein)",1,1,1,3
HARRIS Meg,0,1,2,3
Harold Hampton Hardwick,2,1,0,3
Harry Joseph Hebner,1,1,1,3
Hayden Ernest Stoeckel,2,0,1,3
Heidemarie "Heidi" Reineck,3,0,0,3
Heike Friedrich,0,2,1,3
Helene Emma Madison,0,3,0,3
Horst-Gnter Gregor,0,0,3,3
Hugues Duboscq,3,0,0,3
Igor Nikolayevich Polyansky,2,1,0,3
Inge Dekker,1,1,1,3
Jack Chapman Medica,0,1,2,3
James Magnussen,2,0,1,3
Jane Louise Barkman (-Brown),1,2,0,3
Jenna Leigh Johnson,0,2,1,3
Jnis "John" Konrads,2,1,0,3
Jodie Clare Henry,0,3,0,3
Johanna Maria "Hannie" Termeulen,1,0,2,3
John Gatenby "Jack" Hatfield,1,0,2,3
John Maurer Nelson,1,1,1,3
Joseph Bernard "Joe" Hudepohl,1,2,0,3
Josephine Eveline McKim (-Chalmers),1,2,0,3
Jrmy Stravius,0,1,2,3
Karen Margrethe Harup (-Petersen),0,1,2,3
Karin Seick,2,0,1,3
Kathryn Elise "Katie" Hoff (-Anderson),2,0,1,3
Katrin Meiner,1,2,0,3
Kaye Marie Hall (-Greff),1,2,0,3
Kenneth Marshall "Ken" Walsh,0,2,1,3
Kevin John Berry,1,1,1,3
Kyle Chalmers,2,1,0,3
Lars Arne Frlander,0,1,2,3
Laure Manaudou,1,1,1,3
Leo Joseph "Budd" Goodwin,2,1,0,3
Leonid Georgiyevich Ilyichov,2,0,1,3
Lillian Debra "Pokey" Watson (-Richardson),0,3,0,3
Linda Lee Gustavson (-McGuire),1,1,1,3
Lindsay Dianne Benko (-Mintenko),0,2,1,3
MURPHY Ryan,1,1,1,3
Malin Therse Alshammar,1,0,2,3
Marcus "Mark" Tewksbury,1,1,1,3
Marcus Anthony "Mark" Kerry,2,1,0,3
Marcus William "Mark" Stockwell,1,0,2,3
Margaret Josephine Hoelzer,1,0,2,3
Marie-Louise Jean Josphine Linssen-Vaessen,2,0,1,3
"Martha (Mrta) Maria Norelius (-McAllister, -Wright, -Brown)",0,3,0,3
Masanori Yusa,0,2,1,3
Matthew James "Matt" Welsh,1,0,2,3
Matthew Stephen C. "Matt" Targett,2,0,1,3
McKEON Emma,1,1,1,3
Megan M. Quann-Jendrick,0,2,1,3
Meike Freitag,2,0,1,3
"Melissa Louise Belote (-Hamlin, -Ripley)",0,3,0,3
Melvin "Mel" Stewart (-Monroe),1,2,0,3
Michael Allen "Mike" Wall,0,3,0,3
Michael Eugene "Mike" Stamm,0,1,2,3
Mitchell "Mitch" Ivey,1,1,1,3
Nadia Anita Louise Nall (-Richesson),1,1,1,3
Neil Brooks,1,1,1,3
Nicole Dawn Livingstone-Stevenson (-Clayton),2,0,1,3
Nicole Lee Haislett (-Bacher),0,3,0,3
Norbert Rzsa,0,1,2,3
Norman DeMille Ross,0,3,0,3
Novella Calligaris,2,0,1,3
Otto Scheff (Sochaczewsky-),2,1,0,3
Otto Wahle,1,0,2,3
Otylia Jdrzejczak,0,1,2,3
Oussama Mellouli,1,2,0,3
PAN Zhanle,0,2,1,3
Penelope "Penny" Heyns,1,2,0,3
Per Lennart Johansson,3,0,0,3
Peter Drake Rocca,0,1,2,3
