Name,Bronze,Gold,Silver,Total
Roger Anthony Black,1,0,2,3
Ronald Weigel,1,0,2,3
Sara Simeoni (-Azzaro),0,1,2,3
Seppo Henrik Rty,2,0,1,3
Shawn Crawford,0,1,2,3
Shericka Nicola Williams,2,0,1,3
Sherone Anmarica Simpson,0,1,2,3
Sidney John Robinson,1,1,1,3
Stephen James "Steve" Backley,1,0,2,3
THOMAS Gabrielle,0,3,0,3
Taoufik Makhloufi,0,1,2,3
Tatyana Pavlovna Firova,0,0,3,3
Tatyana Vasilyevna Kazankina (-Kovalenko),0,3,0,3
Tayna Lawrence,0,1,2,3
Teresa Barbara Ciepy-Wieczorek,1,1,1,3
"Tetiana Volodymyrivna Samolenko-Dorovskykh (Khamitova-, -Apaicheva)",1,1,1,3
Tianna Madison-Bartoletta,0,3,0,3
Valerie Kasanita Adams-Vili (-Price),0,2,1,3
Venne "Verner" Jrvinen,2,1,0,3
Vilhelm Bruno Sderstrm,2,0,1,3
Vilho Immanuel "Ville" Tuulos,2,1,0,3
Virgilijus Alekna,1,2,0,3
Walter Rangeley,1,0,2,3
William Bundu "Will" Claye,1,0,2,3
"William Parry O'Brien, Jr.",0,2,1,3
William Peter "Bill" Hogenson,2,0,1,3
Wyndham Halswelle,1,1,1,3
Yelena Gadzhiyevna Isinbayeva,1,2,0,3
Yolanda Gail L. Devers (-Roberts),0,3,0,3
Yuliya Aleksandrovna Gushchina,0,1,2,3
Yuriy Heorhiyovych Siedykh,0,2,1,3
ALFRED Julien,0,1,1,2
ANNING Amber,2,0,0,2
Abdon Pamich,1,1,0,2
Abebe Bikila,0,2,0,2
Abel Richard Kiviat,0,1,1,2
Adam McCright Nelson,0,1,1,2
Adhemar Ferreira da Silva,0,2,0,2
Adolfo Consolini,0,1,1,2
Aeriwentha Mae Faggs (-Starr),1,1,0,2
Akilles Eero Johannes Jrvinen,0,0,2,2
Alberto Juantorena Danger,0,2,0,2
Alejandro Francisco Casaas Ramrez,0,0,2,2
